,text,favorited,favoriteCount,replyToSN,created,truncated,id,replyToUID,statusSource,screenName,retweetCount,firm,who
1,This Merlene correcting her Husband for joking too hard with the waitress at Olive Garden https://t.co/Q4R2gFI25s,FALSE,0,NA,2/27/19 18:41,FALSE,1.10083E+18,NA,"<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPane for Android</a>",mindofmrcole,0,olive+garden,waitress
2,"This ain't just lil kids though, me n my friends were at Olive garden and the waitress heard my order wrong and she… https://t.co/0gtK4qxuhn",FALSE,4,NA,2/27/19 14:14,TRUE,1.10076E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AlexHamilton_51,0,olive+garden,waitress
3,"wheres jonell so i can tell her that tomato still looks like an olive garden waitress

“hi would you like some brea… https://t.co/ZWfyFGoBYB",FALSE,0,NA,2/27/19 13:22,TRUE,1.10075E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Kirbifier,0,olive+garden,waitress
4,@IvankaTrump We need to make enough $ to survive I have struggled to support my children as a hairdresser working 1… https://t.co/VC8Z3s1udq,FALSE,5,IvankaTrump,2/27/19 12:29,TRUE,1.10073E+18,52544275,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hillard_jean,0,olive+garden,waitress
5,"The Sopranos (2049)

Int. Olive Garden - Day

Bobby Baccalieri Jr. sits alone, finishing his spaghetti bolognese an… https://t.co/Oc9Fohqw1s",FALSE,2,NA,2/27/19 7:03,TRUE,1.10065E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RoyleRich,0,olive+garden,waitress
6,"INT. OLIVE GARDEN – NIGHT

A waitress approaches a table.

               BEV
      So how was everything?

(We see… https://t.co/ZZYsGV9s5c",FALSE,14,NA,2/27/19 6:17,TRUE,1.10064E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",hapfrap,0,olive+garden,waitress
7,Me and the waitress at Olive Garden https://t.co/MNf2rcZ9Sa,FALSE,7,NA,2/27/19 5:45,FALSE,1.10063E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ThiccThottie420,0,olive+garden,waitress
8,I swear the waitress at Olive Garden knows our order everytime we go in 😂,FALSE,0,NA,2/27/19 5:38,FALSE,1.10063E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tohdlg,0,olive+garden,waitress
9,"waitress at Olive Garden: is everything okay here?

me: https://t.co/4crOnl5oEj",FALSE,1,csev39,2/26/19 22:10,FALSE,1.10052E+18,1.0205E+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",csev39,0,olive+garden,waitress
10,I went to Olive Garden the other day and the waitress was serving 4 tables including mine. This couple across from… https://t.co/KRtc5teiaC,FALSE,0,NA,2/26/19 19:24,TRUE,1.10048E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nominini,0,olive+garden,waitress
11,@PatrckStatic @LordMinion777 @dlive22891 Why would you get the mini pasta bowl when you can get the never ending st… https://t.co/HWTy9kRGh1,FALSE,0,PatrckStatic,2/26/19 1:46,TRUE,1.10021E+18,104019649,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SHINee_Taylor,0,olive+garden,waitress
12,Me being fake to the waitress at Olive Garden for fresh endless breadsticks   https://t.co/hYhiVBdfIb,FALSE,172,NA,2/26/19 1:27,FALSE,1.10021E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",babajush,52,olive+garden,waitress
